model,spec_id,fit_on,param_index,param_name,value
Full,M1,Orig,0,prior_exceptional_condition,0.044220
Full,M1,Orig,1,p_ask_given_unexpected,0.087364
Full,M1,Orig,2,p_ask_given_expected,0.029323
Full,M1,Orig,3,discount_future_confusion,0.840254
Full,M1,Orig,4,softmax_utterance_weight,1.020207
Full,M1,Orig,5,cost_per_condition_length,0.134373
Full,M1,Orig,6,cost_mentioning_known,2.365562
Full,M1,L1,0,prior_exceptional_condition,0.046874
Full,M1,L1,1,p_ask_given_unexpected,0.013284
Full,M1,L1,2,p_ask_given_expected,0.002398
Full,M1,L1,3,discount_future_confusion,0.812600
Full,M1,L1,4,softmax_utterance_weight,0.758723
Full,M1,L1,5,cost_per_condition_length,0.937456
Full,M1,L1,6,cost_mentioning_known,3.704434
Full,M1,L2,0,prior_exceptional_condition,0.120264
Full,M1,L2,1,p_ask_given_unexpected,0.288511
Full,M1,L2,2,p_ask_given_expected,0.264031
Full,M1,L2,3,discount_future_confusion,0.934020
Full,M1,L2,4,softmax_utterance_weight,0.451830
Full,M1,L2,5,cost_per_condition_length,1.564827
Full,M1,L2,6,cost_mentioning_known,4.458007
Full,M1,L3,0,prior_exceptional_condition,0.150848
Full,M1,L3,1,p_ask_given_unexpected,0.100523
Full,M1,L3,2,p_ask_given_expected,0.000875
Full,M1,L3,3,discount_future_confusion,0.826574
Full,M1,L3,4,softmax_utterance_weight,0.749608
Full,M1,L3,5,cost_per_condition_length,0.140120
Full,M1,L3,6,cost_mentioning_known,3.654309
Full,M1,All 60,0,prior_exceptional_condition,0.095012
Full,M1,All 60,1,p_ask_given_unexpected,0.058942
Full,M1,All 60,2,p_ask_given_expected,0.023700
Full,M1,All 60,3,discount_future_confusion,0.866991
Full,M1,All 60,4,softmax_utterance_weight,0.608819
Full,M1,All 60,5,cost_per_condition_length,0.203853
Full,M1,All 60,6,cost_mentioning_known,4.544383
No-inference,M3,Orig,0,param_0,0.000000
No-inference,M3,Orig,1,param_1,0.000000
No-inference,M3,Orig,2,param_2,0.000000
No-inference,M3,Orig,3,param_3,0.867866
No-inference,M3,Orig,4,param_4,0.716963
No-inference,M3,Orig,5,param_5,1.053590
No-inference,M3,Orig,6,param_6,1.216359
No-inference,M3,L1,0,param_0,0.000000
No-inference,M3,L1,1,param_1,0.000000
No-inference,M3,L1,2,param_2,0.000000
No-inference,M3,L1,3,param_3,0.592723
No-inference,M3,L1,4,param_4,0.864270
No-inference,M3,L1,5,param_5,1.358607
No-inference,M3,L1,6,param_6,0.358588
No-inference,M3,L2,0,param_0,0.000000
No-inference,M3,L2,1,param_1,0.000000
No-inference,M3,L2,2,param_2,0.000000
No-inference,M3,L2,3,param_3,0.886532
No-inference,M3,L2,4,param_4,0.245969
No-inference,M3,L2,5,param_5,1.960397
No-inference,M3,L2,6,param_6,3.678616
No-inference,M3,L3,0,param_0,0.000000
No-inference,M3,L3,1,param_1,0.000000
No-inference,M3,L3,2,param_2,0.000000
No-inference,M3,L3,3,param_3,0.603498
No-inference,M3,L3,4,param_4,0.540267
No-inference,M3,L3,5,param_5,0.103068
No-inference,M3,L3,6,param_6,2.106717
No-inference,M3,All 60,0,param_0,0.000000
No-inference,M3,All 60,1,param_1,0.000000
